k	program	signature	category	signature_genes_in_background	top_n	overlap_n	overlap_top50_n	overlap_genes	overlap_top50_genes	p_value	neg_log10_p
6	6	ecm_degradation	ecm_remodeling	17	100	3	2	FN1,HTRA1,TIMP3	HTRA1,TIMP3	0.016822689959406997	1.7741045590065203
6	6	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
6	6	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
6	6	paracrine_communication	communication	12	100	1	1	HBEGF	HBEGF	0.3312769380627967	0.4798087965982188
6	6	progenitor_interface	progenitor_interface	8	100	5	5	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	1.8119298257958483e-06	5.7418586261182485
6	6	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
6	6	immune_contamination	contamination	13	100	0	0			1.0	-0.0
6	6	mural_contamination	contamination	10	100	0	0			1.0	-0.0
6	6	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
6	6	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
7	1	senescence_core	senescence	15	100	2	2	BTG2,GADD45B	BTG2,GADD45B	0.08528558800432069	1.0691243519392781
7	1	sasp_inflammatory	sasp	20	100	1	1	SOCS3	SOCS3	0.4890811644551101	0.31061906245110604
7	1	ecm_degradation	ecm_remodeling	17	100	2	1	LOX,MMP3	MMP3	0.10592506236370273	0.9750012716347
7	1	fibrocartilage_matrix	fibrocartilage	16	100	4	1	COMP,DCN,FRZB,PRELP	FRZB	0.0014832472387454557	2.8287864514845102
7	1	angiogenesis_hypoxia	communication	9	100	1	0	ADM		0.26039353388855496	0.5843698044025643
7	1	paracrine_communication	communication	12	100	0	0			1.0	-0.0
7	1	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
7	1	generic_stress	generic_stress	14	100	8	8	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	DDIT4,FOS,JUN,MT1E,MT1M,MT1X,MT2A,TXNIP	2.6595794396900385e-09	8.57518703309156
7	1	immune_contamination	contamination	13	100	1	0	CD14		0.3533761800303181	0.45176272825891506
7	1	mural_contamination	contamination	10	100	0	0			1.0	-0.0
7	1	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
