axis_id	ligand	receiver_context	target_gene_set_name	source	genes	n_genes
MIF_chemokine_receptors	MIF	GSE220243_meniscus:t_nk	communication_axes	bulk_cell_state_proxy_signature_gene_sets	ANGPTL4;CCN1;CCN2;CXCL12;FGF2;IL11;MIF;POSTN;SPP1;VEGFA	10
MIF_chemokine_receptors	MIF	GSE220243_meniscus:t_nk	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;PPP1R15A;ABL2;MAT2A;HMOX1;KDM6B;IRF1;NFKBIA;MYC;IER3;SOCS3;ATF3;NR4A3;NFKBIZ;ARID5B;NR4A1;KCNQ1OT1;NR4A2;HSPH1;TNFRSF12A;VEGFA;BMP2;HSPA5;RPS17;MIF;RPL17;PTGS2;FOSL1;INHBA;SDF2L1;CHAC1;RCAN1;SERPINA3;GLIS3;EEF1G;NME2;GAS5;ANGPTL4;IL11;SLC2A1;FGF2;BNIP3;EGLN3;EIF4EBP1;BHLHE40;RFLNB	47
SPP1_matrix_immune	SPP1	GSE220243_meniscus:mural_smooth_muscle	inflammatory_sasp_like	bulk_cell_state_proxy_signature_gene_sets	CCL2;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP13;MMP3;MMP9;TIMP1;AIF1;C1QA;C1QB;CD68;CD74;FCGR3A;LST1;LYZ;PTPRC;TYROBP;C1R;C1S;CCL3;CFD;FOS;IER3;JUN;NFKBIA;PTGS2;SOD2	30
SPP1_matrix_immune	SPP1	GSE220243_meniscus:mural_smooth_muscle	inflammatory_sasp_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;ABL2;MAT2A;HMOX1;PPP1R15A;KDM6B;IER3;NFKBIA;IRF1;MYC;NR4A3;NFKBIZ;SOCS3;ARID5B;NR4A2;IL6;ATF3;NR4A1;KCNQ1OT1;HSPH1	21
TWEAK_FN14	TNFSF12	HRA001986_chondrocyte:Ch.5(cycling)	matrix_proxy_signatures	bulk_cell_state_proxy_signature_gene_sets	ACAN;BGN;CHAD;CILP;COL2A1;COMP;FMOD;FRZB;PCOLCE2;PRELP;COL14A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;POSTN;TNMD;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP13;MMP3;MMP9;SERPINE1;TIMP1	30
TWEAK_FN14	TNFSF12	HRA001986_chondrocyte:Ch.5(cycling)	matrix_remodeling_programs	gse220243_cnmf_program_interpretation_priority	RPS17;RPL17;MIF;VEGFA;EEF1G;GAS5;NME2;SNHG29;RNASEK;GABARAP;SEPTIN7;BMP2;SNHG5;TNFRSF12A;SERPINA3;ECRG4;FGF2;PAPSS2;HSPA5;CHAC1;SPARC;COL3A1;DKK3;CCND1;TGFBI;COL1A2;ASPN;LOXL2;COL5A1;COL5A2;MXRA5;COL1A1;C12ORF75;TNC;SERPINE1;DPT;COL8A1;RFLNB;COL15A1;TREM1;TSPAN2	41
VEGF	VEGFA	GSE220243_meniscus:endothelial	communication_axes	bulk_cell_state_proxy_signature_gene_sets	ANGPTL4;CCN1;CCN2;CXCL12;FGF2;IL11;MIF;POSTN;SPP1;VEGFA	10
VEGF	VEGFA	GSE220243_meniscus:endothelial	msp_primary_cnmf_programs	gse220243_cnmf_program_interpretation_priority	GEM;CDKN1A;PPP1R15A;ABL2;MAT2A;HMOX1;KDM6B;IRF1;NFKBIA;MYC;IER3;SOCS3;ATF3;NR4A3;NFKBIZ;ARID5B;NR4A1;KCNQ1OT1;NR4A2;HSPH1;TNFRSF12A;VEGFA;BMP2;HSPA5;RPS17;MIF;RPL17;PTGS2;FOSL1;INHBA;SDF2L1;CHAC1;RCAN1;SERPINA3;GLIS3;EEF1G;NME2;GAS5;ANGPTL4;IL11;SLC2A1;FGF2;BNIP3;EGLN3;EIF4EBP1;BHLHE40;RFLNB	47
matrix_integrin	CCN1;CCN2;POSTN	GSE220243_meniscus:mural_smooth_muscle	matrix_proxy_signatures	bulk_cell_state_proxy_signature_gene_sets	ACAN;BGN;CHAD;CILP;COL2A1;COMP;FMOD;FRZB;PCOLCE2;PRELP;COL14A1;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;POSTN;TNMD;CXCL1;CXCL2;CXCL8;IL6;MMP1;MMP13;MMP3;MMP9;SERPINE1;TIMP1	30
matrix_integrin	CCN1;CCN2;POSTN	GSE220243_meniscus:mural_smooth_muscle	matrix_remodeling_programs	gse220243_cnmf_program_interpretation_priority	RPS17;RPL17;MIF;VEGFA;EEF1G;GAS5;NME2;SNHG29;RNASEK;GABARAP;SEPTIN7;BMP2;SNHG5;TNFRSF12A;SERPINA3;ECRG4;FGF2;PAPSS2;HSPA5;CHAC1;SPARC;COL3A1;DKK3;CCND1;TGFBI;COL1A2;ASPN;LOXL2;COL5A1;COL5A2;MXRA5;COL1A1;C12ORF75;TNC;SERPINE1;DPT;COL8A1;RFLNB;COL15A1;TREM1;TSPAN2	41
