reference_name	gene	state	mean_expression	marker_score	marker_rank
GSE220243_broad	PMEPA1	immune_myeloid	0.3199249505996704	-1.242727279663086	38101
GSE220243_broad	KLF2	immune_myeloid	0.9137226343154907	-1.2458664178848267	38102
GSE220243_broad	YBX3	immune_myeloid	1.0119740962982178	-1.256194829940796	38104
GSE220243_broad	RGCC	immune_myeloid	1.0304056406021118	-1.264156460762024	38105
GSE220243_broad	CD81	immune_myeloid	1.4614334106445312	-1.266510009765625	38106
GSE220243_broad	CCL5	immune_myeloid	0.032483238726854324	-1.2764021158218384	38108
GSE220243_broad	SPRY1	immune_myeloid	0.022942211478948593	-1.2837742567062378	38110
GSE220243_broad	ERRFI1	immune_myeloid	0.2511347532272339	-1.2838935852050781	38111
GSE220243_broad	PPP1R14A	immune_myeloid	0.011299396865069866	-1.2893524169921875	38112
GSE220243_broad	CPE	immune_myeloid	0.014865154400467873	-1.29226815700531	38113
GSE220243_broad	MAP1B	immune_myeloid	0.028518537059426308	-1.294653296470642	38114
GSE220243_broad	SLC25A37	immune_myeloid	0.23450712859630585	-1.3002609014511108	38115
GSE220243_broad	CRIP2	immune_myeloid	0.4230234920978546	-1.3025636672973633	38116
GSE220243_broad	SOX18	immune_myeloid	0.007903511635959148	-1.303003191947937	38117
GSE220243_broad	TCF4	immune_myeloid	0.49341681599617004	-1.3094325065612793	38118
GSE220243_broad	SYNE2	immune_myeloid	0.018831519410014153	-1.3125202655792236	38119
GSE220243_broad	COL6A3	immune_myeloid	0.17170405387878418	-1.3382563591003418	38122
GSE220243_broad	PECAM1	immune_myeloid	0.4403126835823059	-1.342954397201538	38123
GSE220243_broad	ITM2A	immune_myeloid	0.031089860945940018	-1.3478730916976929	38124
GSE220243_broad	GALNT15	immune_myeloid	0.06504634022712708	-1.3480275869369507	38125
GSE220243_broad	IL7R	immune_myeloid	0.047255780547857285	-1.3490147590637207	38126
GSE220243_broad	MCAM	immune_myeloid	0.013680939562618732	-1.35157310962677	38128
GSE220243_broad	CEBPD	immune_myeloid	1.2689714431762695	-1.355041265487671	38129
GSE220243_broad	EMCN	immune_myeloid	0.00411627721041441	-1.3647961616516113	38130
GSE220243_broad	TIMP1	immune_myeloid	1.2231947183609009	-1.3705116510391235	38131
GSE220243_broad	IL32	immune_myeloid	0.02155943028628826	-1.371612787246704	38132
GSE220243_broad	COL18A1	immune_myeloid	0.03606892004609108	-1.3833985328674316	38133
GSE220243_broad	IFITM2	immune_myeloid	0.7809198498725891	-1.3886361122131348	38136
GSE220243_broad	SPTBN1	immune_myeloid	0.10439994931221008	-1.4024708271026611	38137
GSE220243_broad	SLC39A14	immune_myeloid	0.13287612795829773	-1.4105795621871948	38138
GSE220243_broad	TINAGL1	immune_myeloid	0.008488071151077747	-1.4180405139923096	38141
GSE220243_broad	NUPR1	immune_myeloid	0.8556302189826965	-1.4209539890289307	38142
GSE220243_broad	IGFBP5	immune_myeloid	0.1669090837240219	-1.4240736961364746	38143
GSE220243_broad	FSTL1	immune_myeloid	0.12152159959077835	-1.4257875680923462	38144
GSE220243_broad	CCDC80	immune_myeloid	0.23400993645191193	-1.4472540616989136	38146
GSE220243_broad	GLRX	immune_myeloid	0.8189790844917297	-1.4496283531188965	38147
GSE220243_broad	STEAP4	immune_myeloid	0.046891581267118454	-1.4496891498565674	38148
GSE220243_broad	SOD2	immune_myeloid	1.4285285472869873	-1.452383041381836	38149
GSE220243_broad	PLVAP	immune_myeloid	0.00542926462367177	-1.4554110765457153	38150
GSE220243_broad	CD52	immune_myeloid	0.09382133185863495	-1.4666837453842163	38151
GSE220243_broad	CALCRL	immune_myeloid	0.04756014421582222	-1.4774471521377563	38152
GSE220243_broad	PCOLCE	immune_myeloid	0.1556488275527954	-1.4845885038375854	38153
GSE220243_broad	CTGF	immune_myeloid	0.3014688491821289	-1.5010906457901	38155
GSE220243_broad	APOD	immune_myeloid	0.0613224022090435	-1.5586732625961304	38157
GSE220243_broad	ADAMTS1	immune_myeloid	0.06033409386873245	-1.59571373462677	38159
GSE220243_broad	COL1A1	immune_myeloid	0.17230665683746338	-1.6024621725082397	38160
GSE220243_broad	ID4	immune_myeloid	0.05527452006936073	-1.602779507637024	38161
GSE220243_broad	C1S	immune_myeloid	0.14696501195430756	-1.6162047386169434	38164
GSE220243_broad	C2ORF40	immune_myeloid	0.19324436783790588	-1.626634955406189	38165
GSE220243_broad	TPM1	immune_myeloid	0.38941895961761475	-1.6422830820083618	38166
GSE220243_broad	LDHA	immune_myeloid	1.1939226388931274	-1.677040934562683	38167
GSE220243_broad	CRYAB	immune_myeloid	0.2795872390270233	-1.6922428607940674	38168
GSE220243_broad	AQP1	immune_myeloid	0.21775853633880615	-1.6973179578781128	38169
GSE220243_broad	COL6A1	immune_myeloid	0.20732633769512177	-1.7296420335769653	38171
GSE220243_broad	RAMP2	immune_myeloid	0.03507057577371597	-1.7341127395629883	38172
GSE220243_broad	MFGE8	immune_myeloid	0.18894952535629272	-1.75123929977417	38173
GSE220243_broad	CHI3L1	immune_myeloid	0.1838250458240509	-1.7557437419891357	38174
GSE220243_broad	PRG4	immune_myeloid	0.4927605390548706	-1.76241934299469	38176
GSE220243_broad	MT1M	immune_myeloid	0.22562742233276367	-1.774747610092163	38178
GSE220243_broad	PLAC9	immune_myeloid	0.2340250015258789	-1.7771410942077637	38179
GSE220243_broad	CFH	immune_myeloid	0.22746092081069946	-1.792787790298462	38180
GSE220243_broad	IFI27	immune_myeloid	0.5094845294952393	-1.835209846496582	38181
GSE220243_broad	GSN	immune_myeloid	1.3503475189208984	-1.8408632278442383	38182
GSE220243_broad	SCRG1	immune_myeloid	0.2743333578109741	-1.8476165533065796	38183
GSE220243_broad	C1R	immune_myeloid	0.16033321619033813	-1.8840346336364746	38184
GSE220243_broad	FGFBP2	immune_myeloid	0.23474381864070892	-1.8946704864501953	38185
GSE220243_broad	COL3A1	immune_myeloid	0.48999226093292236	-1.9349147081375122	38186
GSE220243_broad	DDIT4	immune_myeloid	0.5737137198448181	-1.9700400829315186	38188
GSE220243_broad	MMP3	immune_myeloid	0.1092837005853653	-1.9760782718658447	38189
GSE220243_broad	NR2F2	immune_myeloid	0.03303646296262741	-2.0425384044647217	38190
GSE220243_broad	PCOLCE2	immune_myeloid	0.2522600591182709	-2.099142551422119	38192
GSE220243_broad	TM4SF1	immune_myeloid	0.0573132298886776	-2.1519827842712402	38193
GSE220243_broad	GNG11	immune_myeloid	0.31714707612991333	-2.1836249828338623	38194
GSE220243_broad	COL6A2	immune_myeloid	0.2443951964378357	-2.185884714126587	38195
GSE220243_broad	FMOD	immune_myeloid	0.34731540083885193	-2.266695976257324	38196
GSE220243_broad	ADIRF	immune_myeloid	0.5569502711296082	-2.327125310897827	38197
GSE220243_broad	COL1A2	immune_myeloid	0.39305827021598816	-2.3351516723632812	38198
GSE220243_broad	SOD3	immune_myeloid	0.25879937410354614	-2.341165781021118	38199
GSE220243_broad	PLA2G2A	immune_myeloid	0.3694988191127777	-2.3451879024505615	38200
GSE220243_broad	TPM2	immune_myeloid	0.11879286170005798	-2.365687608718872	38201
GSE220243_broad	CILP	immune_myeloid	0.4087586998939514	-2.415471315383911	38202
GSE220243_broad	BGN	immune_myeloid	0.3809593915939331	-2.4397268295288086	38203
GSE220243_broad	MT1E	immune_myeloid	0.3972303867340088	-2.517123222351074	38204
GSE220243_broad	MYL9	immune_myeloid	0.06757903844118118	-2.5391440391540527	38206
GSE220243_broad	C11ORF96	immune_myeloid	0.10963863134384155	-2.57083797454834	38207
GSE220243_broad	ACTA2	immune_myeloid	0.028668886050581932	-2.637610673904419	38208
GSE220243_broad	RGS5	immune_myeloid	0.02604668214917183	-2.7517518997192383	38210
GSE220243_broad	NDUFA4L2	immune_myeloid	0.40798553824424744	-2.779632091522217	38211
GSE220243_broad	CALD1	immune_myeloid	0.16795243322849274	-2.861732006072998	38212
GSE220243_broad	NNMT	immune_myeloid	0.4210106134414673	-2.919095039367676	38213
GSE220243_broad	GPX3	immune_myeloid	0.42310014367103577	-2.9956281185150146	38215
GSE220243_broad	PRELP	immune_myeloid	0.5041374564170837	-3.1311495304107666	38216
GSE220243_broad	COMP	immune_myeloid	1.0551258325576782	-3.613590717315674	38219
GSE220243_broad	IGFBP7	immune_myeloid	0.5313854217529297	-3.657957077026367	38220
GSE220243_broad	TAGLN	immune_myeloid	0.14464084804058075	-3.704927921295166	38221
GSE220243_broad	MT1X	immune_myeloid	0.703579306602478	-3.7239317893981934	38222
GSE220243_broad	DCN	immune_myeloid	1.291560173034668	-3.798989772796631	38223
GSE220243_broad	CLU	immune_myeloid	1.2816710472106934	-3.900242805480957	38224
GSE220243_broad	GLRX	inflammatory_like	2.2686073780059814	1.2233587503433228	1
GSE220243_broad	SOD2	inflammatory_like	2.8809115886688232	1.0815625190734863	2
GSE220243_broad	APOD	inflammatory_like	1.6199957132339478	0.9311442375183105	3
GSE220243_broad	MMP3	inflammatory_like	2.085361957550049	0.9282125234603882	4
GSE220243_broad	GPX3	inflammatory_like	3.4187283515930176	0.9185092449188232	5
GSE220243_broad	NUPR1	inflammatory_like	2.2765841484069824	0.679415225982666	6
GSE220243_broad	PNRC1	inflammatory_like	2.700056791305542	0.6532361507415771	7
