axis	omitted_dataset_id	omitted_tissue	baseline_evidence_grade	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	evidence_grade	grade_changed	smd_shift_from_overall	abs_smd_shift_from_overall
MSP_angiogenic_K14P9	GSE143514	cartilage	heterogeneous_or_inconsistent	8	-0.5036068811108061	0.4390369499622439	-1.3641193030368042	0.356905540815192	-1.1470717468179275	0.2513519696061882	1.2542027634212662	84.56417461462028	3	5	0.625	GSE114007,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.044386426039029536	0.044386426039029536
MSP_angiogenic_K14P9	GSE169077	cartilage	heterogeneous_or_inconsistent	8	-0.5831637230049957	0.4497598641391545	-1.4646930567177385	0.29836561070774703	-1.2966113019470462	0.19476496176454572	1.3058433231525397	84.59882836695027	3	5	0.625	GSE114007,GSE143514,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.03517041585516012	0.03517041585516012
MSP_angiogenic_K14P9	GSE185064	meniscus	heterogeneous_or_inconsistent	8	-0.6678869785444522	0.43224217319631736	-1.5150816380092342	0.17930768092032978	-1.5451684725847166	0.12230551812658176	1.200182542998485	83.85853958923177	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.1198936713946166	0.1198936713946166
MSP_angiogenic_K14P9	GSE191157	meniscus	heterogeneous_or_inconsistent	8	-0.7220287935117121	0.4178717007474385	-1.5410573269766916	0.09699973995326738	-1.7278719573980101	0.0840111829252529	1.1109535869289846	82.91644716347918	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.1740354863618765	0.1740354863618765
MSP_angiogenic_K14P9	GSE55235	synovium	heterogeneous_or_inconsistent	8	-0.4231950927881281	0.439521321753281	-1.2846568834245589	0.4382666978483027	-0.9628545234164604	0.3356205342108839	1.2207107102952304	83.16536938156347	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.12479821436170752	0.12479821436170752
MSP_angiogenic_K14P9	GSE55457	synovium	heterogeneous_or_inconsistent	8	-0.5108351454329338	0.4639883483034561	-1.4202523081077079	0.39858201724184006	-1.1009654602335814	0.2709116900208045	1.3889785407857433	84.54834187734191	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.03715816171690178	0.03715816171690178
MSP_angiogenic_K14P9	GSE89408	synovium	heterogeneous_or_inconsistent	8	-0.7472308866576369	0.37740071523845115	-1.4869362885250013	-0.007525484790272707	-1.9799403034663512	0.04771023695710366	0.7934506263279811	72.26460836857069	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE98918	strong_consistent	True	-0.1992375795078013	0.1992375795078013
MSP_angiogenic_K14P9	GSE98918	meniscus	heterogeneous_or_inconsistent	8	-0.47970475123625833	0.4630945862523537	-1.3873701402908716	0.4279606378183549	-1.0358677589352194	0.30026384077173707	1.3784730393073326	84.15790504424231	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408	heterogeneous_or_inconsistent	False	0.0682885559135773	0.0682885559135773
MSP_inflammatory_K14P10	GSE114007	cartilage	heterogeneous_or_inconsistent	8	-0.8451360537550077	0.46648576427530775	-1.7594481517346108	0.06917604422459545	-1.8117081344763832	0.07003130606560466	1.3514200477706102	82.33058996800895	3	5	0.625	GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.12431827824341357	0.12431827824341357
MSP_inflammatory_K14P10	GSE143514	cartilage	heterogeneous_or_inconsistent	8	-0.8633519086435544	0.46521855900828013	-1.7751802842997835	0.04847646701267461	-1.8557985100250227	0.06348228304013465	1.4216614597020276	85.69655951963765	3	5	0.625	GSE114007,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.10610242335486686	0.10610242335486686
MSP_inflammatory_K14P10	GSE169077	cartilage	heterogeneous_or_inconsistent	8	-1.0862260581036216	0.49265476882173426	-2.051829404994221	-0.12062271121302248	-2.2048422685555478	0.027465164811311123	1.5794834220361569	86.22366127463154	3	5	0.625	GSE114007,GSE143514,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_signal	True	-0.11677172610520037	0.11677172610520037
