program_id	score_column	group_type	group	n_cells	mean_score	median_score	q25_score	q75_score	high_score_fraction
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|Ch.2(FNDC1)	3904	-0.10663909604902837	-0.1272685309137522	-0.2844801929019874	0.04686184483154142	0.08376024590163934
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|Ch.3(PRG4)	4222	0.2603768797659456	0.26597476343511806	0.06427395098115861	0.46325725514493543	0.5270014211274278
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|Ch.4(CFD)	216	-0.2996644072457586	-0.345515591362616	-0.44147903719605064	-0.18781743126858907	0.009259259259259259
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|Ch.5(cycling)	233	-0.07200582397464617	-0.0838347417160338	-0.21599857785966128	0.04490303534280478	0.06437768240343347
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|PCL.1	221	-0.17554289732160436	-0.18754029066162964	-0.3666027630577079	-0.00015007850319935512	0.05429864253393665
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	inner|PCL.2	40	-0.3027792186211272	-0.3845170362233788	-0.5150756495410134	-0.13269984483552277	0.05
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|Ch.1(CHAD)	3410	-0.03208402911832499	-0.04707343509887572	-0.29484812037595054	0.20330391477012638	0.21173020527859238
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|Ch.2(FNDC1)	2252	-0.12586219082381025	-0.15002642616580059	-0.30547158665766816	0.04422149362021694	0.08259325044404973
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|Ch.3(PRG4)	507	0.18546158634183324	0.18785745509882462	-0.01576041490667563	0.3786016228189333	0.42998027613412226
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|Ch.4(CFD)	2008	-0.2178205082800812	-0.26897684322480087	-0.4857530696028606	0.0013316778903317119	0.10308764940239044
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|Ch.5(cycling)	59	-0.06279589007343014	-0.058693162127118614	-0.22683189820851327	0.16745084154573578	0.2033898305084746
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|PCL.1	2659	-0.28005720440339793	-0.3173722919383538	-0.49197732974371355	-0.10390463648580534	0.046634072959759305
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	anatomy_celltype	outer|PCL.2	1976	-0.38747740667548264	-0.4163354699045994	-0.6653172474298434	-0.23150451768702449	0.024291497975708502
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|Ch.1(CHAD)	714	0.21211645252043473	0.2010675612767538	-0.04835054893491475	0.44272553307543383	0.4523809523809524
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|Ch.2(FNDC1)	3779	-0.10986113159934248	-0.13023955803982773	-0.2875170905224005	0.044238146401909956	0.08335538502249272
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|Ch.3(PRG4)	3851	0.2640882762058585	0.2693811886468566	0.06667736427559373	0.4661708690344409	0.5325889379381978
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|Ch.4(CFD)	167	-0.3360658356687687	-0.3786441677514615	-0.46085823658602404	-0.2284898613393062	0.0
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|Ch.5(cycling)	231	-0.06840800043523347	-0.08135094326780665	-0.2121489630616751	0.045483996936590915	0.06493506493506493
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|PCL.1	190	-0.15083288677038334	-0.1437602337870495	-0.35643240007860694	0.04276512291521717	0.06315789473684211
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|inner|PCL.2	34	-0.26827499022884377	-0.36381212603140367	-0.5062121893027274	-0.07006098125708529	0.058823529411764705
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|Ch.1(CHAD)	1131	0.13468353556470636	0.1265422419059847	-0.10701240676880484	0.3457082008662078	0.34924845269672855
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|Ch.2(FNDC1)	2171	-0.12379337468295226	-0.1482414599168246	-0.30539661793940853	0.048054516003632815	0.0852141870105942
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|Ch.3(PRG4)	429	0.18686374677889464	0.19415241772069777	-0.029588458655873996	0.38268213404031914	0.4382284382284382
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|Ch.4(CFD)	1071	-0.08891261369588943	-0.10428342697288462	-0.36705358256574483	0.14948988914795097	0.17647058823529413
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|Ch.5(cycling)	57	-0.046191343703255415	-0.046182945507325414	-0.19840021514025113	0.1677684508176327	0.21052631578947367
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|PCL.1	498	-0.08169332245605992	-0.0649225208661566	-0.32711739202582035	0.13347998571631417	0.15461847389558234
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	abnormal|outer|PCL.2	144	-0.12145990294230552	-0.1739486491158493	-0.43853164343844486	0.18120607128121904	0.19444444444444445
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|Ch.1(CHAD)	6265	0.24711937502020973	0.19629991853918427	0.0004906663577687792	0.4281217025061107	0.4387869114126097
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|Ch.2(FNDC1)	125	-0.009230517291932593	-0.014589186811742516	-0.15794697262087112	0.13992798126307288	0.096
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|Ch.3(PRG4)	371	0.22185238464436996	0.22018849500250814	0.045238719794281665	0.40863642944229406	0.46900269541778977
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|Ch.4(CFD)	49	-0.17560239608978567	-0.23284563358362192	-0.3555003432876578	-0.025047076502484535	0.04081632653061224
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|Ch.5(cycling)	2	-0.4875544427768125	-0.4875544427768125	-0.5397522053244246	-0.4353566802292005	0.0
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|PCL.1	31	-0.3269913490871525	-0.29585566199092106	-0.4369788111012729	-0.23040094891356916	0.0
K12_P1_generic_stress_response	score_K12_P1_generic_stress_response	status_anatomy_celltype	normal|inner|PCL.2	6	-0.4983031795107337	-0.5126556715685484	-0.5845609581113248	-0.41848666825559516	0.0
