fibro_leiden	sample_label	disease_status	n_cells	cluster_total_cells	sample_total_cells	cluster_fraction	sample_fraction	program_gene_count	program_score_logcpm	total_counts	present_for_recurrence	program_score_z
4	MenNorm7	normal	30	6224	5563	0.004820051413881748	0.005392773683264426	30	7.6269476019270845	120293.0	False	0.8033145587658744
4	MenOA1	OA	0	6224	7711	0.0	0.0	30	0.0	0.0	False	-1.6263081432226911
4	MenOA2	OA	1	6224	5308	0.00016066838046272492	0.00018839487565938207	30	1.892322118486653	1163.0	False	-1.023494407175967
4	MenOA3	OA	0	6224	2882	0.0	0.0	30	0.0	0.0	False	-1.6263081432226911
4	MenOA4	OA	3	6224	9984	0.0004820051413881748	0.00030048076923076925	30	7.683406869507753	13433.0	False	0.8213000918272236
4	MenOA5	OA	1	6224	4605	0.00016066838046272492	0.00021715526601520088	30	4.199190604450099	951.0	False	-0.2886237437689418
4	MenOA6	OA	0	6224	5195	0.0	0.0	30	0.0	0.0	False	-1.6263081432226911
5	MenNorm1AVAS	normal	5	2505	8199	0.001996007984031936	0.0006098304671301379	30	6.777049471237231	17545.0	False	0.959858764320433
5	MenNorm1VAS	normal	13	2505	7981	0.005189620758483034	0.0016288685628367372	30	6.976720152724709	28469.0	False	1.0213305393222376
5	MenNorm2	normal	2	2505	6496	0.0007984031936127744	0.0003078817733990148	30	6.332149150921757	12462.0	False	0.822889169260585
5	MenNorm3	normal	3	2505	6192	0.0011976047904191617	0.00048449612403100775	30	5.912122252890063	7396.0	False	0.6935772503641214
5	MenNorm4	normal	2464	2505	8636	0.9836327345309381	0.28531727651690597	30	7.539346657339004	17486580.0	True	1.1945440008282069
5	MenNorm5	normal	0	2505	4381	0.0	0.0	30	0.0	0.0	False	-1.1265630236380662
5	MenNorm6	normal	1	2505	5719	0.0003992015968063872	0.00017485574401119076	30	6.756845156146071	2289.0	False	0.953638546599449
5	MenNorm7	normal	16	2505	5563	0.006387225548902195	0.0028761459644076936	30	6.738580687067093	97822.0	False	0.9480155411317144
5	MenOA1	OA	0	2505	7711	0.0	0.0	30	0.0	0.0	False	-1.1265630236380662
5	MenOA2	OA	0	2505	5308	0.0	0.0	30	0.0	0.0	False	-1.1265630236380662
5	MenOA3	OA	0	2505	2882	0.0	0.0	30	0.0	0.0	False	-1.1265630236380662
5	MenOA4	OA	0	2505	9984	0.0	0.0	30	0.0	0.0	False	-1.1265630236380662
5	MenOA5	OA	1	2505	4605	0.0003992015968063872	0.00021715526601520088	30	4.196917405346091	1213.0	False	0.16552433000164773
5	MenOA6	OA	0	2505	5195	0.0	0.0	30	0.0	0.0	False	-1.1265630236380662
6	MenNorm1AVAS	normal	2	3222	8199	0.0006207324643078833	0.00024393218685205513	30	2.5099924471794	8296.0	False	-0.22994037045715324
6	MenNorm1VAS	normal	4	3222	7981	0.0012414649286157666	0.0005011903270266884	30	2.4057551007123545	16607.0	False	-0.27467404002997287
6	MenNorm2	normal	2	3222	6496	0.0006207324643078833	0.0003078817733990148	30	1.8340847330424401	3881.0	False	-0.5200075428355444
6	MenNorm3	normal	2	3222	6192	0.0006207324643078833	0.00032299741602067185	30	1.629010829343637	4062.0	False	-0.6080154263532885
6	MenNorm4	normal	11	3222	8636	0.003414028553693358	0.0012737378415933302	30	2.6559483750460435	60100.0	False	-0.1673030866939399
6	MenNorm5	normal	39	3222	4381	0.012104283054003724	0.008902077151335312	30	6.18366867276879	326874.0	False	1.3466252652096538
6	MenNorm6	normal	4	3222	5719	0.0012414649286157666	0.000699422976044763	30	5.8743717561534075	11494.0	False	1.2138898633914705
6	MenNorm7	normal	3130	3222	5563	0.9714463066418374	0.5626460542872551	30	6.429919450813211	33786208.0	True	1.4523042882320927
6	MenOA1	OA	0	3222	7711	0.0	0.0	30	0.0	0.0	False	-1.3071087421395007
6	MenOA2	OA	2	3222	5308	0.0006207324643078833	0.00037678975131876413	30	1.9693169016215712	6000.0	False	-0.46197238221538023
6	MenOA3	OA	0	3222	2882	0.0	0.0	30	0.0	0.0	False	-1.3071087421395007
6	MenOA4	OA	0	3222	9984	0.0	0.0	30	0.0	0.0	False	-1.3071087421395007
6	MenOA5	OA	5	3222	4605	0.0015518311607697084	0.0010857763300760044	30	5.020388936123819	10056.0	False	0.8474013965717045
6	MenOA6	OA	21	3222	5195	0.006517690875232775	0.004042348411934553	30	6.128660187260551	121606.0	False	1.3230182615988628
7	MenNorm1AVAS	normal	0	4397	8199	0.0	0.0	30	0.0	0.0	False	-1.0216911299999052
7	MenNorm1VAS	normal	0	4397	7981	0.0	0.0	30	0.0	0.0	False	-1.0216911299999052
7	MenNorm2	normal	0	4397	6496	0.0	0.0	30	0.0	0.0	False	-1.0216911299999052
7	MenNorm3	normal	0	4397	6192	0.0	0.0	30	0.0	0.0	False	-1.0216911299999052
7	MenNorm4	normal	0	4397	8636	0.0	0.0	30	0.0	0.0	False	-1.0216911299999052
7	MenNorm5	normal	467	4397	4381	0.1062087787127587	0.10659666742752796	30	6.379423597182456	4815260.0	True	1.215764296107495
7	MenNorm6	normal	2149	4397	5719	0.4887423243120309	0.37576499388004897	30	6.633202442543146	19386668.0	True	1.304772158014381
7	MenNorm7	normal	9	4397	5563	0.0020468501250852852	0.0016178321049793278	30	6.236964158027032	110509.0	False	1.165799492817226
7	MenOA1	OA	2	4397	7711	0.00045485558335228563	0.00025936973155232785	30	2.508781033378836	2400.0	False	-0.14178628428187232
7	MenOA2	OA	7	4397	5308	0.0015919945417329998	0.0013187641296156744	30	3.497564196672266	34578.0	False	0.2050096636987003
7	MenOA3	OA	2	4397	2882	0.00045485558335228563	0.0006939625260235947	30	2.577241125002678	6067.0	False	-0.11777527433056156
7	MenOA4	OA	0	4397	9984	0.0	0.0	30	0.0	0.0	False	-1.0216911299999052
7	MenOA5	OA	597	4397	4605	0.13577439163065727	0.12964169381107493	30	6.435908349273297	5576637.0	True	1.2355751948717346
7	MenOA6	OA	1164	4397	5195	0.26472594951103023	0.22406159769008663	30	6.5134960547610365	12303001.0	True	1.2627875331023293
8	MenNorm1AVAS	normal	3	4886	8199	0.0006139991813344249	0.00036589828027808267	30	6.05658736368349	22293.0	False	-1.1916776253331602
8	MenNorm1VAS	normal	7	4886	7981	0.0014326647564469914	0.0008770830722967047	30	6.298305529956778	58704.0	False	-0.6750074297673121
8	MenNorm2	normal	463	4886	6496	0.09476054031927958	0.07127463054187193	30	6.865241489089715	3689640.0	True	0.5368125893674931
8	MenNorm3	normal	324	4886	6192	0.0663119115841179	0.05232558139534884	30	6.735185637690247	2162342.0	True	0.2588194901600726
8	MenNorm4	normal	12	4886	8636	0.0024559967253376994	0.0013895321908290875	30	5.457743816722258	119708.0	False	-2.4716997986438383
8	MenNorm5	normal	32	4886	4381	0.006549324600900532	0.007304268431864871	30	6.56946192738405	164135.0	False	-0.0954133055537301
8	MenNorm6	normal	36	4886	5719	0.007367990176013099	0.006294806784402867	30	6.735041531452392	163485.0	False	0.25851146449844137
