signature	source	gene	signature_class
mural_smooth_muscle	GSE220243_broad_markers	MYH11	vascular_or_contaminating_celltype
mural_smooth_muscle	GSE220243_broad_markers	PDGFRB	vascular_or_contaminating_celltype
mural_smooth_muscle	GSE220243_broad_markers	RGS5	vascular_or_contaminating_celltype
mural_smooth_muscle	GSE220243_broad_markers	TAGLN	vascular_or_contaminating_celltype
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	COL14A1	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	COL1A1	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	COL1A2	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	COL3A1	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	COL5A1	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	COL5A2	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	DCN	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	LUM	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	POSTN	fibrocartilage_state
outer_fibrous_like	GSE220243_broad_markers+HRA_Ch2	TNMD	fibrocartilage_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	ENG	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	GDF5	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	ITGA5	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	ITGB1	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	ITGBL1	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	MCAM	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	NT5E	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	PRG4	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	SPARCL1	interface_progenitor_state
progenitor_prg4_gdf5	GSE220243_broad_markers+HRA_PCL	THY1	interface_progenitor_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	CXCL1	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	CXCL2	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	CXCL8	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	IL6	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	MMP1	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	MMP13	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	MMP3	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	MMP9	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	SERPINE1	inflammatory_senescence_state
sasp_matrix_remodeling	HRA_reference_markers+MSP_design	TIMP1	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	CDKN1A	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	CDKN2A	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	CDKN2B	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	GADD45A	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	GADD45B	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	GLB1	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	LMNB1	inflammatory_senescence_state
senescence_arrest	HRA_reference_markers+MSP_design	SERPINE1	inflammatory_senescence_state
synovial_lining_like	GSE220243_broad_markers	CD55	interface_progenitor_state
synovial_lining_like	GSE220243_broad_markers	CLIC5	interface_progenitor_state
synovial_lining_like	GSE220243_broad_markers	CXCL12	interface_progenitor_state
synovial_lining_like	GSE220243_broad_markers	HAS1	interface_progenitor_state
synovial_lining_like	GSE220243_broad_markers	ITGA6	interface_progenitor_state
synovial_lining_like	GSE220243_broad_markers	PRG4	interface_progenitor_state
synovial_lining_like	GSE220243_broad_markers	VCAM1	interface_progenitor_state
t_nk	GSE220243_broad_markers	CD3D	immune_celltype
t_nk	GSE220243_broad_markers	CD3E	immune_celltype
t_nk	GSE220243_broad_markers	GNLY	immune_celltype
t_nk	GSE220243_broad_markers	KLRD1	immune_celltype
t_nk	GSE220243_broad_markers	NKG7	immune_celltype
t_nk	GSE220243_broad_markers	PTPRC	immune_celltype
t_nk	GSE220243_broad_markers	TRAC	immune_celltype
