fibro_leiden	program_gene_rank	gene	present	score	logfoldchanges	pvals_adj
13	22	CHAD	True	46.13976	2.0282483	0.0
13	23	SCX	True	45.363354	1.7406849	0.0
13	24	COMP	True	43.078403	1.6778892	0.0
13	25	ADIRF	True	42.835728	1.1872362	0.0
13	26	SERTAD4-AS1	True	41.951496	1.5751569	0.0
13	27	MT-ND5	True	41.818314	1.1463957	0.0
13	28	BBS9	True	41.174633	2.4087968	0.0
13	29	GSTT2B	True	40.83408	1.7047682	0.0
13	30	TOMM7	True	40.45332	0.7962974	0.0
14	1	RPL17	True	114.93222	3.6499195	0.0
14	2	LINC01578	True	113.927086	3.7136848	0.0
14	3	VEGFA	True	102.58165	3.3086698	0.0
14	4	GAS5	True	98.37283	3.3545527	0.0
14	5	EEF1G	True	98.19334	3.2072062	0.0
14	6	MIF	True	96.86474	2.4812858	0.0
14	7	SNHG6	True	96.78858	3.2756555	0.0
14	8	RPS17	True	95.6088	2.9167285	0.0
14	9	ECRG4	True	93.35401	3.806982	0.0
14	10	NME2	True	93.2832	3.1183968	0.0
14	11	SNHG29	True	89.35495	3.1265538	0.0
14	12	LINC00632	True	83.80855	2.9955485	0.0
14	13	SNHG5	True	81.11446	2.8655477	0.0
14	14	SEPTIN7	True	78.542206	2.7856696	0.0
14	15	RNASEK	True	77.84535	2.596945	0.0
14	16	GABARAP	True	77.48058	2.5489063	0.0
14	17	AOPEP	True	75.22017	3.1504536	0.0
14	18	RPL36A	True	68.804924	1.8616258	0.0
14	19	CIAO2B	True	67.10159	2.7537696	0.0
14	20	SEC61G	True	67.009544	1.7113508	0.0
14	21	ATP6V0C	True	66.77175	2.5974867	0.0
14	22	FAM162A	True	66.750465	2.0142794	0.0
14	23	CDK2AP1	True	65.267105	2.8144233	0.0
14	24	MICOS10	True	65.262924	2.5542343	0.0
14	25	MAGI2-AS3	True	65.232086	2.658567	0.0
14	26	PMEPA1	True	65.09159	1.897462	0.0
14	27	HSPA5	True	64.573685	1.964898	0.0
14	28	DNAJB9	True	64.46703	2.1266983	0.0
14	29	SNHG32	True	64.46464	2.7356615	0.0
14	30	DDX3Y	True	63.61646	2.6394074	0.0
15	1	SPARCL1	True	76.64004	4.304977	0.0
15	2	PRG4	True	76.29803	5.932767	0.0
15	3	TMSB4X	True	59.497177	2.6737666	0.0
15	4	CRTAC1	True	58.17648	2.5257728	0.0
15	5	NBL1	True	52.657753	2.3715749	0.0
15	6	S100A4	True	52.108887	2.5830657	0.0
15	7	HTRA1	True	50.68054	2.8575344	0.0
15	8	TIMP3	True	50.442207	3.0447116	0.0
15	9	FN1	True	49.785027	2.763133	0.0
15	10	TMEM196	True	48.025818	4.0047307	0.0
15	11	ITGB8	True	47.294605	3.448041	0.0
15	12	ITGBL1	True	46.68334	3.2735457	0.0
15	13	TPPP3	True	46.149895	2.9836116	0.0
15	14	CFI	True	45.896217	3.1514356	0.0
15	15	APLP2	True	44.10174	1.8189939	0.0
15	16	S100A10	True	43.89287	1.7509105	0.0
15	17	ARL2	True	43.85726	2.0488267	0.0
15	18	SCARA5	True	43.16041	3.140834	0.0
15	19	EMP3	True	42.862602	1.9086733	0.0
15	20	GFPT2	True	42.8539	2.8277063	0.0
15	21	ITM2B	True	42.83171	1.155769	0.0
15	22	HAS1	True	42.576275	3.4741974	0.0
15	23	TNXB	True	42.143204	2.3158655	0.0
