sample_id	sample_title	source_name	series_title	platform_id	age	sex	bmi	disease_state	dataset_id	tissue	condition	contrast_group	score_Fibrocartilage_matrix	score_Fibrotic_remodeling	score_MSP_paracrine	score_MSP_angiogenic	score_MSP_inflammatory	score_MSP_paracrine_consensus	score_MSP_interface_matrix_fibrotic	primary_oa_normal	gse89408_oa_normal_sensitivity	gse98918_oa_apm_exploratory	gse191157_aged_young_exploratory
OA_05	OA_05		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.4740375368756481	1.442879377294085	0.1126722115479605	0.1934495992624845	0.0033442624611065	0.0852255236853538	1.9169169141697333	True	False	False	False
OA_06	OA_06		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.3672486470339709	0.2107415558989737	-0.1381908987283867	-0.0597674761425008	-0.2613245726448004	-0.2503212001433126	0.5779902029329447	True	False	False	False
OA_07	OA_07		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	-1.215742226007724	0.2112423717313222	-0.4711999988161913	-0.5543125737044363	0.1477680965136056	-0.6050357413667896	-1.0044998542764016	True	False	False	False
OA_08	OA_08		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.5330478095148601	0.1866468990845639	-0.0862214677864076	-0.1569707931711364	-0.4268071667236145	-0.2460623950689739	0.719694708599424	True	False	False	False
OA_09	OA_09		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	0.3496379430899595	1.1084621186401544	-0.1456299519854021	-0.1280567783190683	0.0457692888979315	-0.2526292205110327	1.4581000617301139	True	False	False	False
OA_10	OA_10		GSE114007 normalized cartilage counts	supplement_normalized_counts				OA	GSE114007	cartilage	OA	OA	-0.082166318166007	0.834602947728464	0.0363601795372857	0.1124160125390352	-0.1585503041449264	-0.026489344229152	0.7524366295624569	True	False	False	False
Normal_1B_count	Normal_1B_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				normal	GSE143514	cartilage	normal	normal	-0.0388818707208346	0.7453165906977606	0.8572675274340961	0.6834418834915877	0.2763636354056554	0.689078689571363	0.706434719976926	True	False	False	False
Normal_3B_count	Normal_3B_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				normal	GSE143514	cartilage	normal	normal	-0.1248436072497345	1.4448565384450032	1.307310780655274	1.4307914940204194	0.2143786330609398	1.3475260754873246	1.3200129311952686	True	False	False	False
Normal_4A_count	Normal_4A_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				normal	GSE143514	cartilage	normal	normal	-0.6719741763247661	-1.4813391992193268	-0.4334545542180724	-0.7595407253003964	1.1823091662475005	-0.495907687364415	-2.153313375544093	True	False	False	False
Osteoarthritis_1B_count	Osteoarthritis_1B_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				OA	GSE143514	cartilage	OA	OA	-0.0421930630920389	-0.4280012268345395	-0.2704890678710205	-0.2600887546085103	-0.1779671731154372	-0.2781311550791455	-0.4701942899265784	True	False	False	False
Osteoarthritis_2B_count	Osteoarthritis_2B_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				OA	GSE143514	cartilage	OA	OA	-0.157429576469257	-0.1224576771271645	-0.6602756881064932	-0.5573051060156927	-0.2558596814957969	-0.6449503999377583	-0.2798872535964215	True	False	False	False
Osteoarthritis_3B_count	Osteoarthritis_3B_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				OA	GSE143514	cartilage	OA	OA	0.7025185278274855	-0.085119954273677	-0.2262088262704434	-0.0791484508694995	-0.7458957515252912	-0.1553029566546974	0.6173985735538084	True	False	False	False
Osteoarthritis_5B_count	Osteoarthritis_5B_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				OA	GSE143514	cartilage	OA	OA	-0.286885160664839	-0.1462148885408209	-0.2164903780793949	-0.3116398466576932	-0.305561617024808	-0.2254860948747368	-0.4331000492056599	True	False	False	False
Osteoarthritis_8A_count	Osteoarthritis_8A_count		GSE143514 mRNA raw count matrix	supplement_mrna_counts				OA	GSE143514	cartilage	OA	OA	0.6196889266939862	0.0729598168527627	-0.3576597935439505	-0.1465104940602125	-0.1877672115527663	-0.2368264711479359	0.692648743546749	True	False	False	False
GSM5176138	N2	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				NORMAL CARTILAGE	GSE169077	cartilage	normal	normal	-1.7261872227178767	-1.6510936458619512	-0.3815356647653702	-0.2731662182038931	-0.4868708110509366	-0.2853211308422709	-3.377280868579828	True	False	False	False
