reference_name	dataset_id	sample_id	tissue	condition	subtype_id	subtype_label	state	fraction	n_genes_used	reconstruction_rmse
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	endothelial	0.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	fibrochondrocyte_core	1.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	immune_myeloid	0.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	inflammatory_like	0.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	mural_smooth_muscle	0.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	outer_fibrous_like	0.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_01	cartilage	OA	S1	ECM_fibrotic_high	t_nk	0.0	405	1.803428252950879
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.0	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.07494405934343748	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.9250559406565625	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_02	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.7926209008317664
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.7257007490627243	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.09242405779012436	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.1818751931471513	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_03	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.7754963940213098
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.7892652037835912
