gene	n_datasets	n_tissues	tissues	weighted_delta_s1_minus_s2	stouffer_z	p_value	n_positive_datasets	n_negative_datasets	fdr	evidence_tier
LOC100505679	2	2	cartilage;synovium	0.3651978415492615	0.9175317326297335	0.3588640724276173	1	1	0.8397245748191201	mixed_or_weak
AIM1L	2	2	cartilage;synovium	0.4431460673026076	0.9170692469265836	0.3591063548780309	2	0	0.8397245748191201	candidate_S1_high
MAP3K10	2	2	cartilage;synovium	0.30074973362732565	0.9170588869199351	0.3591117833531783	2	0	0.8397245748191201	candidate_S1_high
ARMCX5-GPRASP2	2	2	cartilage;synovium	0.32502662239149427	0.9167921784011868	0.3592515520376909	1	1	0.8397245748191201	mixed_or_weak
RIC3	4	2	meniscus;synovium	0.2240900834004566	0.9167866145240632	0.359254468153237	2	2	0.8397245748191201	candidate_S1_high
FAM27B	2	2	meniscus;synovium	0.267116381377561	0.9160918631705097	0.3596187151579089	1	1	0.8397245748191201	mixed_or_weak
TNFSF13	2	2	cartilage;synovium	0.4622172520501282	0.9156655287305757	0.35984235029282086	2	0	0.8397245748191201	candidate_S1_high
RAB17	4	2	meniscus;synovium	0.2607775433059554	0.9154794045586722	0.35994000972243956	2	2	0.8397245748191201	candidate_S1_high
SQRDL	2	2	meniscus;synovium	0.5674121726942403	0.914899151634587	0.36024457548176225	1	1	0.8397245748191201	mixed_or_weak
PFN1	2	2	meniscus;synovium	0.4593530327787553	0.914899151634587	0.36024457548176225	1	1	0.8397245748191201	mixed_or_weak
ASCL5	1	1	cartilage	0.34531276888835005	0.9147385346352187	0.3603289094336214	1	0	0.8397245748191201	mixed_or_weak
TMPRSS11F	1	1	cartilage	0.3442634863350859	0.9147385346352187	0.3603289094336214	1	0	0.8397245748191201	mixed_or_weak
APP	2	2	meniscus;synovium	0.34615934974313545	0.9142797512152834	0.36056986761721677	1	1	0.8397245748191201	mixed_or_weak
ZNF267	2	1	synovium	0.5269705527243268	0.9142585947761872	0.36058098165411856	2	0	0.8397245748191201	candidate_S1_high
NEAT1	2	2	meniscus;synovium	0.2305418688719656	0.9141860800009042	0.3606190772142872	1	1	0.8397245748191201	mixed_or_weak
SCARNA15	1	1	cartilage	0.5478878721439918	0.9138735334633756	0.36078330210627485	1	0	0.8397245748191201	mixed_or_weak
LOC442028	1	1	cartilage	0.480584509388153	0.9138735334633756	0.36078330210627485	1	0	0.8397245748191201	mixed_or_weak
SPATA32	1	1	cartilage	0.433332048105467	0.9138735334633756	0.36078330210627485	1	0	0.8397245748191201	mixed_or_weak
TBC1D19	3	1	synovium	0.40430702248348593	0.9137506049357851	0.36084790669933897	3	0	0.8397245748191201	candidate_S1_high
ABCC6	3	1	synovium	0.13602142529229458	0.9137411497904772	0.36085287611347716	2	1	0.8397245748191201	candidate_S1_high
FAM135B	2	2	cartilage;synovium	0.27285378548378003	0.9131165192537648	0.3611812631363177	1	1	0.8397245748191201	mixed_or_weak
OR10H2	3	2	cartilage;synovium	0.2930934363658007	0.912940400779912	0.36127388776531744	3	0	0.8397245748191201	candidate_S1_high
ZNF667	3	1	synovium	0.12021492998203817	0.9128929351555831	0.36129885354255886	1	2	0.8397245748191201	mixed_or_weak
LAMB4	4	2	cartilage;synovium	0.23992676321846582	0.9125549580453141	0.36147665265253426	2	2	0.8397245748191201	candidate_S1_high
C4ORF29	4	2	cartilage;synovium	0.4414812686786931	0.9121043110845197	0.36171380913950346	3	1	0.8397245748191201	candidate_S1_high
STX16-NPEPL1	1	1	cartilage	0.18422399888599728	0.9116359642455233	0.36196038364521754	1	0	0.8397245748191201	mixed_or_weak
LOC645752	2	2	cartilage;synovium	0.32344981093416986	0.9116259466230395	0.3619656588575879	2	0	0.8397245748191201	candidate_S1_high
GIMAP1	2	2	cartilage;meniscus	0.10477299644610635	0.9107015992538265	0.3624526212379847	1	1	0.8397245748191201	mixed_or_weak
RFPL1S	3	2	meniscus;synovium	0.3898166720819948	0.9104245001804899	0.3625986817819975	2	1	0.8397245748191201	candidate_S1_high
PIPOX	4	2	meniscus;synovium	0.10581571091588192	0.9103193696219644	0.3626541063582269	2	2	0.8397245748191201	candidate_S1_high
TMBIM4	2	1	synovium	0.3024358769887503	0.9102205429858249	0.3627062123587641	2	0	0.8397245748191201	candidate_S1_high
MIR137HG	2	2	cartilage;synovium	0.245050060972577	0.9097817139425183	0.3629376400632952	1	1	0.8397245748191201	mixed_or_weak
XKRX	2	2	cartilage;synovium	0.32243740428032874	0.9092983866957899	0.3631926419764755	2	0	0.8397245748191201	candidate_S1_high
ZCWPW2	3	3	cartilage;meniscus;synovium	0.5154818896805085	0.9091933089696809	0.36324809548394	3	0	0.8397245748191201	candidate_S1_high
C1D	3	2	meniscus;synovium	0.21338590410503147	0.9091642157865838	0.3632634499982903	1	2	0.8397245748191201	mixed_or_weak
SP140	2	2	cartilage;synovium	0.26781495568140196	0.9090732507923102	0.3633114612294428	1	1	0.8397245748191201	mixed_or_weak
FOLR3	3	1	synovium	0.21686572965408507	0.9081270508304585	0.36381110003410666	2	1	0.8397245748191201	candidate_S1_high
GPR84	2	2	cartilage;synovium	0.2344198315691301	0.9079498919012019	0.3639046961559651	1	1	0.8397245748191201	mixed_or_weak
P2RY11	4	2	cartilage;synovium	0.3303441693091993	0.9078184460841011	0.3639741509811941	4	0	0.8397245748191201	candidate_S1_high
SKIL	2	1	synovium	0.37153652413025934	0.9074559176417574	0.36416575080621705	2	0	0.8397245748191201	candidate_S1_high
PADI4	3	2	cartilage;synovium	0.26860831945599817	0.906627353512069	0.36460389173612007	2	1	0.8397245748191201	candidate_S1_high
SULT1E1	4	3	cartilage;meniscus;synovium	0.2657039257113849	0.9062093065033524	0.36482507805956266	3	1	0.8397245748191201	candidate_S1_high
CLDN23	2	2	meniscus;synovium	0.4188621064098876	0.9059426311964398	0.36496621825009967	2	0	0.8397245748191201	candidate_S1_high
NCEH1	2	2	meniscus;synovium	0.5132814165638112	0.9057553675883689	0.3650653495006555	2	0	0.8397245748191201	candidate_S1_high
CAMK2N2	2	2	cartilage;synovium	0.2251046015774865	0.905700090028658	0.3650946148535802	2	0	0.8397245748191201	candidate_S1_high
