k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
7	7	0.002306565419959477	0.0	0.008244381185964836	MenOA4	0.14299983595073132	OA	0.5107041164187414	14
8	1	0.32819701435151666	0.28263919241991375	0.862214162191108	MenNorm1AVAS	0.16065262201719585	normal	0.7858832747982512	14
8	2	0.18469204261845248	0.10768960589043132	0.5998931701590903	MenOA1	0.16375880553807826	OA	0.6372258954061054	14
8	3	0.15919769046438179	0.10114223202614467	0.5490962321808079	MenNorm5	0.21931670662208255	normal	0.6282755441000343	14
8	4	0.13770600830494562	0.029693292563261964	0.6795421291465433	MenNorm6	0.13078220736551338	normal	0.6090409933308756	14
8	5	0.09536196686325113	0.03576171476697582	0.3969481595963923	MenOA1	0.16625054670548242	OA	0.7537630650230405	14
8	6	0.0874807444519348	0.013320751035090709	0.5408707552653029	MenNorm6	0.21445269354200996	normal	0.5458739895461082	14
8	7	0.004940780740398185	0.0	0.017636975239898798	MenOA4	0.262064125098203	OA	0.6617973979663551	14
8	8	0.002423752205119339	0.0	0.009259306688631034	MenOA1	0.1431441981310462	normal	0.5563230954193027	14
9	1	0.27140233373766237	0.1971385350498158	0.8209020283192392	MenNorm1AVAS	0.18686714660689485	normal	0.8384105096436629	14
9	2	0.20223031974562572	0.11524414008993139	0.6299146506400705	MenNorm2	0.14799159459952674	OA	0.5703113024149202	14
9	3	0.14959151146340235	0.09077753499454119	0.5219329626223211	MenNorm5	0.2203206375955362	normal	0.6370133121014289	14
9	4	0.129282144149098	0.02628762088081235	0.6539156532488111	MenNorm6	0.13339704801802468	normal	0.6020811076009434	14
9	5	0.086956854257341	0.030367356731488056	0.37182799293922253	MenOA1	0.16904674799904162	OA	0.7559546464315454	14
9	6	0.08117691506931055	0.016796727591239534	0.5095406759224733	MenNorm6	0.22403627056620368	normal	0.5654113548445974	14
9	7	0.07189113618317008	0.011568985373494711	0.35301033448197067	MenOA1	0.16208248553753946	OA	0.6473761349007533	14
9	8	0.0050208959912066455	0.0	0.018022294501221548	MenOA4	0.26058219578753195	OA	0.6695347174935298	14
9	9	0.0024478894031833127	0.0	0.009244002925788117	MenOA1	0.13595285674803903	normal	0.5583707603668114	14
10	1	0.24479367929454413	0.16054025346406556	0.785355492988414	MenNorm1AVAS	0.19941305702806228	normal	0.8657697229224197	14
10	2	0.18844484876520767	0.10302619984734011	0.6024290448335077	MenNorm2	0.15191139638330964	OA	0.5587892152561552	14
10	3	0.130492214154208	0.0854027004677612	0.4304952742925302	MenOA6	0.15912072403285815	OA	0.5509624211822652	14
10	4	0.12082495356539819	0.020207620628061196	0.6239587905159766	MenNorm6	0.1342101342659538	normal	0.6101757301449846	14
10	5	0.09224727299647693	0.03814619340993379	0.3952273583245687	MenNorm5	0.2595164207932878	normal	0.7544734828099767	14
10	6	0.07452740555013362	0.010747622650083822	0.4798826850902521	MenNorm6	0.23319107945288264	normal	0.5818837404987613	14
10	7	0.07345028231154609	0.020409198613647393	0.327622769244495	MenOA1	0.19317949668317905	OA	0.7342782412245453	14
10	8	0.06827615232068084	0.006630795563054858	0.3451204711070266	MenOA1	0.16176503453083627	OA	0.7026796547275777	14
10	9	0.004749114083451343	0.0	0.01709189616194982	MenOA4	0.26002246599150247	OA	0.6409458263941776	14
10	10	0.0021940769583531673	0.0	0.008267324222652996	MenOA1	0.13358831435280855	normal	0.5392194687397706	14
12	1	0.16847258965919973	0.07536427576301188	0.7029939818147498	MenNorm1AVAS	0.21849584506231737	normal	0.8422629236833765	14
12	2	0.1753417657424296	0.08536550294985633	0.5798793955196448	MenNorm2	0.15230784915274967	OA	0.5668763548966795	14
12	3	0.1341581025457329	0.09208959408661335	0.4289125283208506	MenOA6	0.15642804979195118	OA	0.5295872058268801	14
12	4	0.13095835180709545	0.0632588086396765	0.508519912373569	MenNorm1VAS	0.20192086916638186	normal	0.8343560922966781	14
12	5	0.08962342721223926	0.004655102123296909	0.5256467079208348	MenNorm6	0.14981898604898172	normal	0.5551923018726033	14
12	6	0.0690224705571291	0.01680990093063192	0.31352986879000216	MenOA1	0.2001280055794496	OA	0.7674192443591803	14
12	7	0.06765606730966828	0.006313058275526858	0.4540001380628885	MenNorm6	0.24258859877827585	normal	0.5737818366357039	14
12	8	0.075252785646794	0.021040773002524226	0.34711466590148826	MenNorm5	0.2910803589206648	normal	0.7298763590881415	14
12	9	0.06590450686199148	0.004120811888387067	0.33660972832530617	MenOA1	0.15831763959387454	OA	0.7000840176962684	14
12	10	0.01736844941201438	0.0	0.08711923984024716	MenNorm6	0.1651868800171784	normal	0.6342012812747803	14
12	11	0.004231095868487996	0.0	0.015018016451261803	MenOA4	0.25351396606018956	OA	0.6486729822726468	14
12	12	0.002010387377217761	0.0	0.007519478024157219	MenOA1	0.1411156992448436	normal	0.5106826191523689	14
14	1	0.1630258318378018	0.06970100780540259	0.68520697711674	MenNorm1AVAS	0.22905427011118687	normal	0.8427068220556486	14
14	2	0.1316768035609015	0.08813611496238818	0.42772663278077416	MenOA6	0.15042062898489605	OA	0.5177494851022005	14
14	3	0.13885338468940558	0.08661944909131358	0.4925791839023635	MenNorm3	0.23413052047593386	normal	0.6999744689701686	14
14	4	0.11021528709546889	0.031839212232949096	0.4432319836715488	MenOA1	0.18518149596657613	OA	0.7351779724954051	14
