dataset_id	tissue	axis	contrast	group_a	group_b	n_group_a	n_group_b	mean_delta_group_a_minus_group_b	p_value	fdr_bh	n_present_genes	smd_hedges_g	se_smd	ci95_low	ci95_high	direction
GSE169077	cartilage	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	6	5	1.2791913332807103	0.0173160173160173	0.0474308300395256	18	1.7431582517884665	0.7317634974186302	0.30890179684795127	3.1774147067289817	positive
GSE169077	cartilage	Generic_stress_K14P1	OA_vs_normal	OA	normal	6	5	-0.6085697513998047	0.0303030303030303	0.0580035692280115	16	-1.5806886670419555	0.7109686921578222	-2.974187303671287	-0.18719003041262394	negative
GSE169077	cartilage	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	6	5	-0.1569301685638034	0.9307359307359306	0.9615116251352904	25	-0.20586392054293437	0.6074710763019141	-1.3965072300946861	0.9847793890088173	negative
GSE185064	meniscus	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	4	4	0.1811524474828664	0.6857142857142857	0.7854545454545455	20	0.5782885063178669	0.7265453413552012	-0.8457403627383275	2.0023173753740613	positive
GSE185064	meniscus	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	4	4	0.2803160219273624	0.4857142857142857	0.6652173913043479	20	0.5708520053336613	0.7260550950165251	-0.8522159808987279	1.9939199915660506	positive
GSE185064	meniscus	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	4	4	0.0092608552331201	0.8857142857142857	0.9457627118644067	20	0.021987514062076885	0.707135268222815	-1.3639976116546406	1.4079726397787944	positive
GSE185064	meniscus	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	4	4	0.1093317600365761	1.0	1.0	19	0.16448608491924852	0.7086992587440307	-1.2245644622190517	1.5535366320575485	positive
GSE185064	meniscus	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	4	4	-0.0563873038329262	0.8857142857142857	0.9457627118644067	20	-0.10504641493410435	0.7077567113358062	-1.4922495691522846	1.2821567392840758	negative
GSE185064	meniscus	Generic_stress_K14P1	OA_vs_normal	OA	normal	4	4	-0.0852379708205471	1.0	1.0	19	-0.15557291528111866	0.7085315172929304	-1.5442946891752622	1.2331488586130248	negative
GSE185064	meniscus	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	4	4	0.1563293023271754	0.6857142857142857	0.7854545454545455	29	0.3889451153358776	0.7159654497450534	-1.014347166164427	1.7922373968361822	positive
GSE191157	meniscus	MSP_paracrine_K12P8	aged_vs_young	aged	young	4	4	0.4410243421136268	0.0571428571428571	0.1028571428571428	19	1.1577991783522426	0.782117794697679	-0.3751516992552082	2.6907500559596933	positive
GSE191157	meniscus	MSP_angiogenic_K14P9	aged_vs_young	aged	young	4	4	0.5357891134914161	0.1142857142857142	0.1846153846153846	20	1.1523494944528325	0.7814468076035682	-0.3792862484501611	2.6839852373558264	positive
GSE191157	meniscus	MSP_inflammatory_K14P10	aged_vs_young	aged	young	4	4	-0.3748008746274615	0.1142857142857142	0.1846153846153846	20	-0.9658039193315225	0.7600864649606281	-2.4555733906543535	0.5239655519913086	negative
GSE191157	meniscus	Fibrocartilage_matrix_K14P4	aged_vs_young	aged	young	4	4	0.6015660951751114	0.1142857142857142	0.1846153846153846	20	1.258970658213573	0.7950370598407513	-0.2993019790742997	2.8172432955014455	positive
GSE191157	meniscus	Fibrotic_remodeling_K14P7	aged_vs_young	aged	young	4	4	-0.9531795809502722	0.0285714285714285	0.0580035692280115	20	-1.991975047696057	0.9114075465383067	-3.778333838911138	-0.2056162564809758	negative
GSE191157	meniscus	Generic_stress_K14P1	aged_vs_young	aged	young	4	4	-0.1095543811980103	0.4857142857142857	0.6652173913043479	20	-0.4506408612764458	0.7189736426469319	-1.8598292008644324	0.9585474783115406	negative
GSE191157	meniscus	MSP_paracrine_consensus_K12P8_K14P9	aged_vs_young	aged	young	4	4	0.326021904233004	0.3428571428571428	0.5142857142857143	28	0.8534384799005262	0.7487966590345095	-0.6142029718071124	2.321079931608165	positive
