fibro_leiden	signature	gene	present	matched_var_name	mean_expression	fraction_expressing
9	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.007845522835850716	0.01263157894736842
10	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.006610500160604715	0.008865790278202385
11	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0009811163181439042	0.002110446711220542
12	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0016773492097854614	0.0024303073624017154
13	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.000408187392167747	0.0007846214201647705
14	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.002238950226455927	0.004092526690391459
15	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0026759032625705004	0.004701457451810061
16	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.004278980661183596	0.004769885264922006
17	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.0071585713885724545	0.011719745222929937
18	inner_zone_chondrocyte_like	MATN3	True	MATN3	0.013475748710334301	0.019203505606392578
0	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.5008599758148193	0.4519606311513826
1	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.5915842652320862	0.5117942474509207
2	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.5694347023963928	0.5775127768313458
3	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.05527499318122864	0.0598669623059867
4	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.2643287479877472	0.22589974293059126
5	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.045736975967884064	0.0530938123752495
6	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.24079979956150055	0.24022346368715083
7	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.13111639022827148	0.11530589037980442
8	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.13117724657058716	0.11440851412198116
9	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.9480168223381042	0.7768421052631579
10	inner_zone_chondrocyte_like	CILP2	True	CILP2	1.1148014068603516	0.7172118618159584
11	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.0969197079539299	0.10446711220541681
12	inner_zone_chondrocyte_like	CILP2	True	CILP2	1.0359605550765991	0.677626876340243
13	inner_zone_chondrocyte_like	CILP2	True	CILP2	1.4131227731704712	0.8315025500196155
14	inner_zone_chondrocyte_like	CILP2	True	CILP2	1.4354339838027954	0.8067615658362989
15	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.13680399954319	0.15843911612599906
16	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.8849325776100159	0.5522753641871858
17	inner_zone_chondrocyte_like	CILP2	True	CILP2	0.9066414833068848	0.5505732484076433
18	inner_zone_chondrocyte_like	CILP2	True	CILP2	1.9959286451339722	0.9173862611161232
0	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.05825762450695038	0.07405092954225902
1	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.39697331190109253	0.39111246385633847
2	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.025494223460555077	0.04088586030664395
3	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.8782130479812622	0.6395312005068102
4	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.08424331992864609	0.07294344473007712
5	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.24468070268630981	0.2087824351297405
6	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.6257894039154053	0.5630043451272502
7	outer_zone_fibrous_like	COL1A1	True	COL1A1	2.0948808193206787	0.9279053900386627
8	outer_zone_fibrous_like	COL1A1	True	COL1A1	2.1668787002563477	0.9115841178878428
9	outer_zone_fibrous_like	COL1A1	True	COL1A1	2.4791982173919678	0.9873684210526316
