leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
1	62	ZFP36	38.484226	1.6039629	1.0804913325219346e-292	5.294961627476722e-290
1	63	IRF1	38.439648	1.9255735	6.631793327907224e-291	3.2087806096952624e-288
1	64	KLF4	38.233936	1.5216802	1.907678342399088e-289	9.114887119982843e-287
1	65	DUSP1	38.19845	1.462608	6.345881222470974e-289	2.994629183305315e-286
1	66	SDC2	38.095615	1.5254687	2.794441336186383e-287	1.3026186052974184e-284
1	67	SASH1	37.970207	1.7744148	9.2602363248737e-285	4.1642738033173215e-282
1	68	CYGB	37.78888	2.1981475	1.4456374072199061e-279	6.139782694841522e-277
1	69	EEF1A1	37.625923	0.6369254	5.41316203517801e-279	2.273765995963124e-276
1	70	CFH	37.528214	1.9919086	6.852563784231212e-280	2.9430606526792566e-277
1	71	FBLN5	36.364414	2.8988223	6.766540404312882e-255	2.586442404144556e-252
1	72	GGT5	36.049625	2.8487334	1.6291791718004144e-253	6.1657172933563415e-251
1	73	HSD17B11	35.80285	1.9851635	5.805661400471057e-255	2.24157173102632e-252
1	74	GABARAPL1	35.753605	1.5689068	4.0127800981529294e-256	1.5812835718742016e-253
1	75	FYN	35.7311	2.1171622	1.7249781828097347e-253	6.464271182325422e-251
1	76	KLF9	35.709637	1.3467295	9.612724993662666e-256	3.74935510365063e-253
1	77	HEXB	35.43867	1.6372976	4.113419909589192e-251	1.526518083729488e-248
1	78	ANTXR2	35.005367	2.3566978	9.333200177949031e-242	3.2729563633204014e-239
1	79	NEAT1	34.557858	1.0526382	4.4991026314478315e-239	1.5633972634951083e-236
1	80	LAMA2	34.26907	2.6192262	5.9952594022445386e-232	1.992719959925176e-229
1	81	XIST	33.76572	1.6049438	1.7653895471789344e-230	5.817262935462724e-228
1	82	PPP2R1A	33.722454	1.7058814	2.685663855346774e-229	8.774086769809837e-227
1	83	TXNIP	33.680065	1.405285	3.9277277852318806e-229	1.2723175157856221e-226
1	84	MFAP4	33.672054	2.303571	4.2542699243571564e-226	1.3009217087090236e-223
1	85	EIF5A	33.570137	1.2892536	1.878764870307331e-228	5.9844923668856186e-226
1	86	FADS3	33.525	1.8312654	4.176118127760291e-226	1.2873220912541078e-223
1	87	LAPTM4A	33.453518	0.8458661	1.741382780480585e-225	5.282747254054752e-223
1	88	PDGFD	33.408543	2.3163288	2.8891177938926486e-223	8.560747174709504e-221
1	89	LHFPL6	33.405643	1.4556445	2.2532400597692317e-226	7.002264068668221e-224
1	90	PABPC1	33.252647	1.0847784	3.0690610977359315e-224	9.237148929122697e-222
1	91	ACTB	33.165443	0.9903777	1.0104687596955712e-222	2.9484089977559934e-220
1	92	MYOC	33.060802	2.8390653	2.8810422226957323e-217	8.157404290394198e-215
1	93	FOS	33.0419	1.4045688	2.4129101965574004e-221	6.987202981303794e-219
1	94	COL6A2	32.979	1.1829282	1.4530258183484297e-219	4.175974351921081e-217
1	95	ADAMTS5	32.87184	2.2201247	1.0926596611549014e-216	3.0710163888224228e-214
1	96	SGCE	32.63983	1.8889366	7.713717736864744e-215	2.1521835530942918e-212
1	97	H1FX	31.522379	1.2854565	1.8759565169708384e-203	4.845037966533333e-201
1	98	PTGER4	31.44115	2.3698354	8.509638958162381e-199	1.9955364388760667e-196
1	99	LAMC1	31.395393	1.8811882	2.654485509200131e-200	6.675332506820118e-198
1	100	RPS26	31.367952	0.8751441	3.697782366349545e-197	8.566305040687576e-195
2	1	COL14A1	91.678154	3.3894157	0.0	0.0
2	2	PLAC9	88.66357	1.9984637	0.0	0.0
2	3	TMSB4X	84.81773	2.0452263	0.0	0.0
2	4	S100A4	83.7618	2.1531932	0.0	0.0
2	5	WISP2	83.24993	3.7733424	0.0	0.0
2	6	SPARCL1	75.466255	2.7114325	0.0	0.0
