fibro_leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
2	31	PNRC1	43.353683	1.4275353	0.0	0.0
2	32	ARL6IP1	43.133354	1.8940753	0.0	0.0
2	33	DDX39B	43.039715	2.334448	0.0	0.0
2	34	SNHG12	41.987858	1.9791675	0.0	0.0
2	35	NAP1L1	41.49454	1.3793745	0.0	0.0
2	36	TOMM20	41.344948	1.3054856	0.0	0.0
2	37	TAF1D	41.2953	1.6663028	0.0	0.0
2	38	NPM1	40.687317	1.1847824	6.828664746925569e-301	4.27899805387677e-298
2	39	RPS20	40.643402	1.2320169	1.4869555413194476e-300	9.021807716094375e-298
2	40	EIF4A1	40.495495	1.5864067	1.3044254335701774e-304	8.450908097082451e-302
2	41	MT2A	40.225018	2.0561886	9.950072111819554e-301	6.134379941970817e-298
2	42	TOMM6	40.12853	2.3399868	1.3540384602598228e-302	8.62612768416191e-300
2	43	ANP32B	39.822575	1.4162806	4.238954830837747e-295	2.5317157727178443e-292
2	44	SEPTIN1	39.640064	3.5533834	5.029800943582183e-280	2.8273398715806673e-277
2	45	TRAPPC5	39.17897	2.433708	7.616332321536914e-289	4.41101040391556e-286
2	46	MAGI2-AS3	39.13295	2.3683689	1.3448266821410504e-289	7.908408476639925e-287
2	47	ASS1	38.093796	1.9046047	7.003956079971049e-277	3.879988655084252e-274
2	48	DEK	37.41154	1.405479	3.1229961232605506e-267	1.6579639418821012e-264
2	49	STC2	37.298725	2.744219	1.113859401592612e-261	5.832350926914521e-259
2	50	EIF1	37.269527	0.811842	5.7256638052278334e-260	2.9575374769057934e-257
2	51	MT1X	36.797367	2.0302656	3.525177399693387e-255	1.772978696393158e-252
2	52	NGRN	36.51206	2.3159401	6.292978840387745e-255	3.123932768765989e-252
2	53	SYF2	36.242214	1.373313	1.5117259301288194e-252	7.314457209271391e-250
2	54	PTGES3	34.8486	1.1474885	2.117639353709965e-234	9.752367067013218e-232
2	55	DDIT4	34.67374	2.0598218	3.341967482902454e-234	1.520754346029326e-231
2	56	DNAJB9	34.601562	1.7917386	1.9246476811433665e-233	8.65502740753224e-231
2	57	CIRBP	34.498325	1.1024455	2.791304984804796e-225	1.159726540643245e-222
2	58	CCN2	34.487576	3.1114864	5.107093784080598e-230	2.2183358273033724e-227
2	59	AOPEP	34.479107	2.3174486	3.266103000501959e-231	1.434983001048125e-228
2	60	RPS26	34.437042	1.1397787	2.3602746318753235e-225	9.91419093723103e-223
2	61	LAYN	34.249428	2.0859969	2.2529162483184683e-228	9.675895581542149e-226
2	62	SNHG17	34.179596	3.263004	1.3464932670499147e-219	5.146835863971593e-217
2	63	COA8	33.96182	2.7801876	9.401909298715098e-221	3.704933825093669e-218
2	64	ATOH8	33.937523	2.994075	4.500742499137182e-217	1.6702561290001906e-214
2	65	MICOS13	33.723717	2.3598316	2.3226365472353985e-221	9.345311513844829e-219
2	66	HNRNPC	33.644394	1.2479898	4.3542058657112653e-221	1.7336996355307022e-218
2	67	RNASE4	33.45233	2.0126367	5.875109588839571e-220	2.291532540038814e-217
2	68	EFHD1	33.365726	2.2989075	2.7006868127131596e-216	9.83152883134741e-214
2	69	BNIP3	33.274117	1.6203771	2.184854175299502e-217	8.187633921240015e-215
2	70	C18orf32	33.189842	1.8946888	6.43127799880669e-217	2.3637420214075667e-214
2	71	CAST	32.94491	1.2422229	2.846502124432927e-213	1.0168663290123757e-210
2	72	RGCC	32.856804	1.9269418	2.833701503213684e-213	1.0168663290123757e-210
2	73	NFKBIL1	32.827217	1.817447	2.386802763885941e-212	8.370013655667543e-210
2	74	PAM16	32.75799	2.805615	1.096315290964023e-206	3.741567471590073e-204
2	75	GABPB1-IT1	32.47535	2.8141236	1.6764694197947648e-203	5.572292791498704e-201
2	76	SNHG3	32.268406	3.3756032	4.267738272401759e-198	1.3262603880023158e-195
2	77	ERRFI1	32.166862	1.6003159	8.348756937650771e-205	2.8240963290687e-202
2	78	SNHG32	32.06452	2.0558429	6.1484104945532525e-204	2.0615512521386274e-201
2	79	CCDC59	31.90547	1.4163517	3.0046388956219247e-202	9.816180952671149e-200
2	80	COPS2	31.856855	1.4367313	1.0753852816781424e-201	3.454245966963472e-199
2	81	UBE2V1	31.849941	2.1576865	1.9598996040263946e-200	6.242933538692075e-198
2	82	RPP21	31.803713	2.27891	6.261594178475098e-199	1.9780427758515053e-196
2	83	BTG1	31.66732	1.180882	1.1766019375225717e-198	3.686428890152687e-196
